Hour,Solar,Demand,Buy,Sell,Charge,Discharge,SOC,y_c,y_d,y_s,y_b
0,0,5,0.0,7.0,0.0,12.0,2.3684211,0,1,1,0
1,0,5,5.0,0.0,0.0,0.0,2.3684211,0,0,0,1
2,0,5,17.0,0.0,12.0,0.0,13.768421,1,0,0,1
3,0,5,17.0,0.0,12.0,0.0,25.168421,1,0,0,1
4,0,5,0.0,7.0,0.0,12.0,12.536842,0,1,1,0
5,0,5,11.382271,0.0,6.3822715,0.0,18.6,1,0,0,1
6,0,10,22.0,0.0,12.0,0.0,30.0,1,0,0,1
7,1,10,0.0,0.0,0.0,9.0,20.526316,0,1,0,0
8,4,25,16.5,0.0,0.0,4.5,15.789474,0,1,0,1
9,10,25,15.0,0.0,0.0,0.0,15.789474,0,0,0,1
10,18,25,0.0,0.0,0.0,7.0,8.4210526,0,1,0,0
11,28,25,0.0,3.0,0.0,0.0,8.4210526,0,0,1,0
12,36,20,0.0,16.0,0.0,0.0,8.4210526,0,0,1,0
13,40,20,0.0,20.0,0.0,0.0,8.4210526,0,0,1,0
14,41,30,0.0,11.0,0.0,0.0,8.4210526,0,0,1,0
15,38,30,0.0,8.0,0.0,0.0,8.4210526,0,0,1,0
16,32,30,0.0,2.0,0.0,0.0,8.4210526,0,0,1,0
17,22,30,0.0,0.0,0.0,8.0,0.0,0,1,0,0
18,12,15,3.0,0.0,0.0,0.0,0.0,0,0,0,1
19,5,15,10.0,0.0,0.0,0.0,0.0,0,0,0,1
20,2,8,6.0,0.0,0.0,0.0,0.0,0,0,0,1
21,0,8,8.0,0.0,0.0,0.0,0.0,0,0,0,1
22,0,8,8.0,0.0,0.0,0.0,0.0,0,0,0,1
23,0,8,8.0,0.0,0.0,0.0,0.0,0,0,0,1
