Hour,Solar,Demand,Buy,Sell,Charge,Discharge,SOC,y_c,y_d
0,0,5,12.961,0.0,7.961,0.0,22.5,1.0,0.0
1,0,5,12.961,0.0,7.961,0.0,30.0,1.0,0.0
2,0,5,5.0,0.0,0.0,0.0,30.0,0.0,0.0
3,0,5,5.0,0.0,0.0,0.0,30.0,0.0,0.0
4,0,5,5.0,0.0,0.0,0.0,30.0,0.0,0.0
5,0,5,5.0,0.0,0.0,0.0,30.0,0.0,0.0
6,0,10,10.0,0.0,0.0,0.0,30.0,0.0,0.0
7,1,10,6.158,0.0,0.0,2.842,27.0,0.0,1.0
8,4,25,18.158,0.0,0.0,2.842,24.0,0.0,1.0
9,10,25,12.158,0.0,0.0,2.842,21.0,0.0,1.0
10,18,25,4.158,0.0,0.0,2.842,18.0,0.0,1.0
11,28,25,0.0,3.0,0.0,0.0,18.0,0.0,0.0
12,36,20,0.0,16.0,0.0,0.0,18.0,0.0,0.0
13,40,20,0.0,20.0,0.0,0.0,18.0,0.0,0.0
14,41,30,0.0,11.0,0.0,0.0,18.0,0.0,0.0
15,38,30,0.0,8.0,0.0,0.0,18.0,0.0,0.0
16,32,30,0.0,2.0,0.0,0.0,18.0,0.0,0.0
17,22,30,5.158,0.0,0.0,2.842,15.0,0.0,1.0
18,12,15,0.158,0.0,0.0,2.842,12.0,0.0,1.0
19,5,15,7.158,0.0,0.0,2.842,9.0,0.0,1.0
20,2,8,3.158,0.0,0.0,2.842,6.0,0.0,1.0
21,0,8,5.158,0.0,0.0,2.842,3.0,0.0,1.0
22,0,8,5.158,0.0,0.0,2.842,0.0,0.0,1.0
23,0,8,8.0,0.0,0.0,0.0,0.0,0.0,0.0
